year,value,covariate,covariate_type
2005,12.844262295081966,mean_temp_apr_may,temperature
2007,18.796363636363637,mean_temp_apr_may,temperature
2008,18.42295081967213,mean_temp_apr_may,temperature
2009,18.645901639344263,mean_temp_apr_may,temperature
2010,14.425,mean_temp_apr_may,temperature
2011,12.077049180327869,mean_temp_apr_may,temperature
2012,19.15084745762712,mean_temp_apr_may,temperature
2013,21.51967213114754,mean_temp_apr_may,temperature
2014,22.991803278688526,mean_temp_apr_may,temperature
2015,22.934426229508198,mean_temp_apr_may,temperature
2016,20.462295081967213,mean_temp_apr_may,temperature
2017,11.903846153846153,mean_temp_apr_may,temperature
2018,15.849180327868853,mean_temp_apr_may,temperature
2019,12.80327868852459,mean_temp_apr_may,temperature
2020,20.48688524590164,mean_temp_apr_may,temperature
2021,23.098360655737707,mean_temp_apr_may,temperature
2022,22.159016393442624,mean_temp_apr_may,temperature
2023,NA,mean_temp_apr_may,temperature
1966,23.61935483870968,mean_temp_may,temperature
1967,14.574193548387097,mean_temp_may,temperature
1968,23.483870967741936,mean_temp_may,temperature
1969,15.03225806451613,mean_temp_may,temperature
1970,21.42,mean_temp_may,temperature
1971,20.3125,mean_temp_may,temperature
1972,24.087096774193547,mean_temp_may,temperature
1973,23.803225806451614,mean_temp_may,temperature
1974,23.43225806451613,mean_temp_may,temperature
1975,20.161538461538463,mean_temp_may,temperature
1976,24.11764705882353,mean_temp_may,temperature
1977,22.66774193548387,mean_temp_may,temperature
1978,14.512903225806452,mean_temp_may,temperature
1989,22.806451612903224,mean_temp_may,temperature
1990,22.5,mean_temp_may,temperature
1991,20.951612903225808,mean_temp_may,temperature
1992,21.91176470588235,mean_temp_may,temperature
1993,21.338709677419352,mean_temp_may,temperature
1994,19,mean_temp_may,temperature
2001,20.87096774193548,mean_temp_may,temperature
2002,21,mean_temp_may,temperature
2003,20.193548387096776,mean_temp_may,temperature
2005,13.258064516129032,mean_temp_may,temperature
2007,20.2,mean_temp_may,temperature
2008,18.612903225806452,mean_temp_may,temperature
2009,18.906451612903226,mean_temp_may,temperature
2011,12.919354838709678,mean_temp_may,temperature
2012,19.387096774193548,mean_temp_may,temperature
2013,23.11935483870968,mean_temp_may,temperature
2014,25.835483870967742,mean_temp_may,temperature
2015,25.16774193548387,mean_temp_may,temperature
2016,21.596774193548388,mean_temp_may,temperature
2017,12.89090909090909,mean_temp_may,temperature
2018,17.116129032258065,mean_temp_may,temperature
2019,13.112903225806452,mean_temp_may,temperature
2020,23.02258064516129,mean_temp_may,temperature
2021,25.806451612903224,mean_temp_may,temperature
2022,24.85483870967742,mean_temp_may,temperature
2023,NA,mean_temp_may,temperature
1965,16.57,mean_temp_oct_nov,temperature
1966,17.24736842105263,mean_temp_oct_nov,temperature
1967,17.377049180327866,mean_temp_oct_nov,temperature
1968,15.8,mean_temp_oct_nov,temperature
1969,15.63888888888889,mean_temp_oct_nov,temperature
1970,16.70754716981132,mean_temp_oct_nov,temperature
1971,15.988524590163935,mean_temp_oct_nov,temperature
1972,16.204918032786885,mean_temp_oct_nov,temperature
1973,15.695081967213115,mean_temp_oct_nov,temperature
1974,15.78360655737705,mean_temp_oct_nov,temperature
1975,14.057377049180326,mean_temp_oct_nov,temperature
1976,17.523214285714285,mean_temp_oct_nov,temperature
1977,13.807692307692308,mean_temp_oct_nov,temperature
1978,14.51311475409836,mean_temp_oct_nov,temperature
1988,21.923076923076923,mean_temp_oct_nov,temperature
1989,16.666666666666664,mean_temp_oct_nov,temperature
1990,17.105263157894733,mean_temp_oct_nov,temperature
1991,19.100000000000005,mean_temp_oct_nov,temperature
1992,18.532786885245905,mean_temp_oct_nov,temperature
1993,15.024590163934427,mean_temp_oct_nov,temperature
1994,16.877049180327866,mean_temp_oct_nov,temperature
2001,18.067307692307693,mean_temp_oct_nov,temperature
2002,16.745901639344265,mean_temp_oct_nov,temperature
2004,15.901639344262296,mean_temp_oct_nov,temperature
2005,15.254098360655735,mean_temp_oct_nov,temperature
2006,15.027118644067796,mean_temp_oct_nov,temperature
2007,16.481967213114753,mean_temp_oct_nov,temperature
2008,16.989830508474576,mean_temp_oct_nov,temperature
2009,14.995081967213114,mean_temp_oct_nov,temperature
2010,17.089655172413792,mean_temp_oct_nov,temperature
2011,14.729508196721312,mean_temp_oct_nov,temperature
2012,16.981967213114753,mean_temp_oct_nov,temperature
2013,15.804918032786885,mean_temp_oct_nov,temperature
2014,18.06393442622951,mean_temp_oct_nov,temperature
2015,17.395081967213116,mean_temp_oct_nov,temperature
2016,16.41967213114754,mean_temp_oct_nov,temperature
2017,15.326229508196722,mean_temp_oct_nov,temperature
2018,15.288333333333332,mean_temp_oct_nov,temperature
2019,14.49016393442623,mean_temp_oct_nov,temperature
2020,16.078688524590163,mean_temp_oct_nov,temperature
2021,17.03934426229508,mean_temp_oct_nov,temperature
2022,15.734426229508196,mean_temp_oct_nov,temperature
