year,covariate,value,habitat_type,stream
2015,mean_spawn_acres,22.454663784743335,spawning,Tuolumne
2016,mean_wetted_acres,740.1744513391075,spawning,Tuolumne
2016,mean_spawn_acres,26.236262333792208,spawning,Tuolumne
2017,mean_wetted_acres,779.7858793144469,spawning,Tuolumne
2017,mean_spawn_acres,28.400704014708683,spawning,Tuolumne
2018,mean_wetted_acres,786.0160971837943,spawning,Tuolumne
2018,mean_spawn_acres,26.706089480726995,spawning,Tuolumne
2019,mean_wetted_acres,777.6761464266185,spawning,Tuolumne
2019,mean_spawn_acres,28.48228941899972,spawning,Tuolumne
2020,mean_wetted_acres,741.5616557241158,spawning,Tuolumne
2020,mean_spawn_acres,25.9467738601621,spawning,Tuolumne
2021,mean_wetted_acres,715.3736206125619,spawning,Tuolumne
2021,mean_spawn_acres,19.23692559207608,spawning,Tuolumne
2022,mean_wetted_acres,747.2313019351794,spawning,Tuolumne
2022,mean_spawn_acres,24.950602435684917,spawning,Tuolumne
2023,mean_wetted_acres,767.2835512753019,spawning,Tuolumne
2023,mean_spawn_acres,29.440990748086683,spawning,Tuolumne
1966,mean_acres_inundated_wetted_area,94.10919208656416,floodplain,Tuolumne
1966,total_acre_days_wetted_area,14210.48800507118,floodplain,Tuolumne
1966,mean_acres_inundated_wua,55.61049507734,floodplain,Tuolumne
1966,total_acre_days_wua,8397.18475667834,floodplain,Tuolumne
1967,mean_acres_inundated_wetted_area,473.4522129151115,floodplain,Tuolumne
1967,total_acre_days_wetted_area,71491.28415018188,floodplain,Tuolumne
1967,mean_acres_inundated_wua,290.33729735692384,floodplain,Tuolumne
1967,total_acre_days_wua,43840.93190089555,floodplain,Tuolumne
1968,mean_acres_inundated_wetted_area,52.719957175968766,floodplain,Tuolumne
1968,total_acre_days_wetted_area,8013.433490747257,floodplain,Tuolumne
1968,mean_acres_inundated_wua,31.743196507533714,floodplain,Tuolumne
1968,total_acre_days_wua,4824.965869145123,floodplain,Tuolumne
1969,mean_acres_inundated_wetted_area,956.3122952372129,floodplain,Tuolumne
1969,total_acre_days_wetted_area,144403.15658081917,floodplain,Tuolumne
1969,mean_acres_inundated_wua,558.0556421121828,floodplain,Tuolumne
1969,total_acre_days_wua,84266.40195893965,floodplain,Tuolumne
1970,mean_acres_inundated_wetted_area,262.8852364732948,floodplain,Tuolumne
1970,total_acre_days_wetted_area,39695.67070746753,floodplain,Tuolumne
1970,mean_acres_inundated_wua,158.77562676043726,floodplain,Tuolumne
1970,total_acre_days_wua,23975.119640826033,floodplain,Tuolumne
1971,mean_acres_inundated_wetted_area,79.16099684737254,floodplain,Tuolumne
1971,total_acre_days_wetted_area,11953.310523953247,floodplain,Tuolumne
1971,mean_acres_inundated_wua,47.81692278597863,floodplain,Tuolumne
1971,total_acre_days_wua,7220.355340682784,floodplain,Tuolumne
1972,mean_acres_inundated_wetted_area,0.8225047953370891,floodplain,Tuolumne
1972,total_acre_days_wetted_area,125.02072889123735,floodplain,Tuolumne
1972,mean_acres_inundated_wua,0.43168256685893325,floodplain,Tuolumne
1972,total_acre_days_wua,65.61575016255779,floodplain,Tuolumne
1973,mean_acres_inundated_wetted_area,25.541492036750395,floodplain,Tuolumne
1973,total_acre_days_wetted_area,3856.765297549303,floodplain,Tuolumne
1973,mean_acres_inundated_wua,15.283364998693356,floodplain,Tuolumne
1973,total_acre_days_wua,2307.7881148026936,floodplain,Tuolumne
1974,mean_acres_inundated_wetted_area,69.08461849561697,floodplain,Tuolumne
1974,total_acre_days_wetted_area,10431.777392838156,floodplain,Tuolumne
1974,mean_acres_inundated_wua,40.94562815413673,floodplain,Tuolumne
1974,total_acre_days_wua,6182.789851274655,floodplain,Tuolumne
1975,mean_acres_inundated_wetted_area,155.25535161100575,floodplain,Tuolumne
1975,total_acre_days_wetted_area,23443.55809326186,floodplain,Tuolumne
1975,mean_acres_inundated_wua,99.21713414039222,floodplain,Tuolumne
1975,total_acre_days_wua,14981.787255199215,floodplain,Tuolumne
1976,mean_acres_inundated_wetted_area,44.1745432413966,floodplain,Tuolumne
1976,total_acre_days_wetted_area,6714.530572692271,floodplain,Tuolumne
1976,mean_acres_inundated_wua,28.0834643220235,floodplain,Tuolumne
1976,total_acre_days_wua,4268.6865769475635,floodplain,Tuolumne
1977,mean_acres_inundated_wetted_area,0,floodplain,Tuolumne
1977,total_acre_days_wetted_area,0,floodplain,Tuolumne
1977,mean_acres_inundated_wua,0,floodplain,Tuolumne
1977,total_acre_days_wua,0,floodplain,Tuolumne
1978,mean_acres_inundated_wetted_area,137.83436779063507,floodplain,Tuolumne
1978,total_acre_days_wetted_area,20812.989536385907,floodplain,Tuolumne
1978,mean_acres_inundated_wua,86.13722498693426,floodplain,Tuolumne
1978,total_acre_days_wua,13006.720973027053,floodplain,Tuolumne
1979,mean_acres_inundated_wetted_area,312.6478544226693,floodplain,Tuolumne
1979,total_acre_days_wetted_area,47209.826017823085,floodplain,Tuolumne
1979,mean_acres_inundated_wua,199.5887674895871,floodplain,Tuolumne
1979,total_acre_days_wua,30137.903890927664,floodplain,Tuolumne
1980,mean_acres_inundated_wetted_area,686.4311716802823,floodplain,Tuolumne
1980,total_acre_days_wetted_area,104337.53809540288,floodplain,Tuolumne
1980,mean_acres_inundated_wua,412.2941410544052,floodplain,Tuolumne
1980,total_acre_days_wua,62668.70944026959,floodplain,Tuolumne
1981,mean_acres_inundated_wetted_area,90.15686094687048,floodplain,Tuolumne
1981,total_acre_days_wetted_area,13613.686002977443,floodplain,Tuolumne
1981,mean_acres_inundated_wua,54.99503653981656,floodplain,Tuolumne
1981,total_acre_days_wua,8304.250517512293,floodplain,Tuolumne
1982,mean_acres_inundated_wetted_area,815.7763739121845,floodplain,Tuolumne
1982,total_acre_days_wetted_area,123182.23246073986,floodplain,Tuolumne
1982,mean_acres_inundated_wua,480.203316474972,floodplain,Tuolumne
1982,total_acre_days_wua,72510.70078772075,floodplain,Tuolumne
1983,mean_acres_inundated_wetted_area,1420.1310288144132,floodplain,Tuolumne
1983,total_acre_days_wetted_area,214439.78535097692,floodplain,Tuolumne
1983,mean_acres_inundated_wua,805.1587254023435,floodplain,Tuolumne
1983,total_acre_days_wua,121578.96753575368,floodplain,Tuolumne
1984,mean_acres_inundated_wetted_area,461.3523012021585,floodplain,Tuolumne
1984,total_acre_days_wetted_area,70125.54978272808,floodplain,Tuolumne
1984,mean_acres_inundated_wua,282.98872903343005,floodplain,Tuolumne
1984,total_acre_days_wua,43014.286813081366,floodplain,Tuolumne
1985,mean_acres_inundated_wetted_area,53.14541480352939,floodplain,Tuolumne
1985,total_acre_days_wetted_area,8024.957635332922,floodplain,Tuolumne
1985,mean_acres_inundated_wua,31.192841058827394,floodplain,Tuolumne
1985,total_acre_days_wua,4710.118999882939,floodplain,Tuolumne
1986,mean_acres_inundated_wetted_area,527.0638688868835,floodplain,Tuolumne
1986,total_acre_days_wetted_area,79586.64420191942,floodplain,Tuolumne
1986,mean_acres_inundated_wua,319.0354891020614,floodplain,Tuolumne
1986,total_acre_days_wua,48174.35885441128,floodplain,Tuolumne
1987,mean_acres_inundated_wetted_area,11.288536409707177,floodplain,Tuolumne
1987,total_acre_days_wetted_area,1704.5689978657817,floodplain,Tuolumne
1987,mean_acres_inundated_wua,7.064313244235199,floodplain,Tuolumne
1987,total_acre_days_wua,1066.7112998795164,floodplain,Tuolumne
1988,mean_acres_inundated_wetted_area,0,floodplain,Tuolumne
1988,total_acre_days_wetted_area,0,floodplain,Tuolumne
1988,mean_acres_inundated_wua,0,floodplain,Tuolumne
1988,total_acre_days_wua,0,floodplain,Tuolumne
1989,mean_acres_inundated_wetted_area,0,floodplain,Tuolumne
1989,total_acre_days_wetted_area,0,floodplain,Tuolumne
1989,mean_acres_inundated_wua,0,floodplain,Tuolumne
1989,total_acre_days_wua,0,floodplain,Tuolumne
1990,mean_acres_inundated_wetted_area,0,floodplain,Tuolumne
