"","Regions","year_month","Corbicula_biomass","Potamocorbula_biomass","Corbicula_GR","Potamocorbula_GR","Corbicula_FR","Potamocorbula_FR","Month","Chlorophyll","DissAmmonia","TotAmmonia","Secchi","TotPhos","DissNitrateNitrite","Temperature","TurbidityNTU","Conductivity","SAC","Index","OUT","season"
"1","Central",1976-06-01,0.63,NA,0.0543651220515572,NA,0.06048,NA,6,11.5391666666667,NA,NA,39.4,0.142,0.216,20.9,17.26,516.4,10934.6666666667,5.29,3775.13333333333,"Summer"
"2","Central",1977-06-01,0.0464982317430837,NA,0.00599673589188007,NA,0.00623076305357322,NA,6,4.74833333333333,NA,0.0175,51.8333333333333,0.156666666666667,0.5025,23.67,13.6416666666667,1045.875,6865.33333333333,3.11,2383.16666666667,"Summer"
"3","Central",1977-10-01,1.90419432406601,NA,0.195836043637942,NA,0.203748792675063,NA,10,7.615,NA,0.0625,55.45,0.154166666666667,0.3425,19.85,20.6583333333333,1346.45,4494.1935483871,8.65,2045.90322580645,"Autumn"
"4","Central",1979-05-01,0.142425808803988,NA,0.0126001011905734,NA,0.0136728776451829,NA,5,8.20666666666667,0.0566666666666667,NA,36,NA,0.39,19.6666666666667,14.76,312.833333333333,17983.8709677419,6.67,13434.7096774194,"Spring"
"5","Central",1979-09-01,0.0493290186543438,NA,0.00705675783069528,NA,0.00735002377949722,NA,9,6.745,0.0525,NA,44.75,0.14,0.275833333333333,23.75,14.7333333333333,801.25,14566.6666666667,6.67,4971.7,"Autumn"
"6","Central",1980-06-01,8.49986417878533,NA,1.00834585055806,NA,1.13898179995723,NA,6,7.893,0.042,NA,38.6,NA,0.387,20.4,36.6875,270.6,17813.3333333333,9.04,14790.3,"Summer"
"7","Central",1980-07-01,4.97482643588663,NA,0.601830931670899,NA,0.666626742408809,NA,7,4.94,0.0491666666666667,NA,39.375,NA,0.3875,23.4919444444444,25.29,281.208333333333,17725.8064516129,9.04,11065.2258064516,"Summer"
"8","Central",1980-08-01,0.366449598853431,NA,0.045043114301193,NA,0.0491042462463598,NA,8,8.478,0.0358333333333333,NA,45,NA,0.219166666666667,24.6666666666667,16.49,283.666666666667,14916.1290322581,9.04,4121.67741935484,"Summer"
"9","Central",1980-09-01,0.212940895244658,NA,0.0261375994292368,NA,0.0285340799627842,NA,9,17.295,0.051,NA,46.8181818181818,NA,0.27625,21.6090909090909,12.57,401.772727272727,15886.6666666667,9.04,9803,"Autumn"
"10","Central",1980-10-01,3.61558757185771,NA,0.275202992750032,NA,0.310940531179763,NA,10,NA,0.055,NA,55.9545454545455,NA,0.329166666666667,17.5272727272727,26.81,283.045454545455,11343.5483870968,6.21,7320.83870967742,"Autumn"
"11","Central",1980-11-01,4.48613217005238,NA,0.224723589209338,NA,0.246737269352881,NA,11,8.13,0.052,NA,56.6,0.136,0.442,14.53,30.125,310.7,10871.6666666667,6.21,6661.8,"Autumn"
"12","Central",1980-12-01,0.561428197120225,NA,0.0157434877256134,NA,0.017404274110727,NA,12,4.746,0.16,NA,63.1,0.17,0.572,9.53,16.84,351.7,16687.0967741935,6.21,12486.8064516129,"Winter"
"13","Central",1981-01-01,4.55858057701961,NA,0.129181305797479,NA,0.141315997887608,NA,1,NA,0.165,NA,66.3333333333333,0.148333333333333,0.75,9.16666666666667,18.1166666666667,358.666666666667,18509.6774193548,6.21,18325.2580645161,"Winter"
"14","Central",1981-02-01,35.0982287235909,NA,1.30537596228714,NA,1.544322063838,NA,2,2.90666666666667,0.166666666666667,NA,38.3333333333333,0.211666666666667,1.11166666666667,13.1666666666667,17.64,446.5,24239.2857142857,6.21,21171.3928571429,"Winter"
"15","Central",1981-03-01,20.3149778438978,NA,0.876979327983717,NA,0.995433914350992,NA,3,4.55416666666667,0.183333333333333,NA,55.5833333333333,0.196666666666667,0.959166666666667,14.1666666666667,19.81,441.75,24509.6774193548,6.21,26483.2580645161,"Spring"
"16","Central",1981-04-01,0.228985298133831,NA,0.0210511129042878,NA,0.0219825886208478,NA,4,14.4883333333333,0.079,NA,45.5833333333333,0.2075,0.554,17.8333333333333,20.68,386.4,17224.3333333333,6.21,11647.6666666667,"Spring"
"17","Central",1981-05-01,2.55418637355947,NA,0.255608364535952,NA,0.273297941970864,NA,5,26.5833333333333,0.0516666666666667,NA,37.25,0.151666666666667,0.318,21.75,14.19,364.5,13780.6451612903,6.21,9142.54838709677,"Spring"
"18","Central",1981-06-01,31.5020880381589,NA,5.8815797283644,NA,6.58393639997522,NA,6,4.158,0.054,NA,42.6818181818182,NA,0.465,25.0145454545455,15.25,416.9,10728.6666666667,6.21,4595.8,"Summer"
"19","Central",1981-07-01,1.41241145227073,NA,0.18347988496536,NA,0.210449306388339,NA,7,7.59416666666667,0.0358333333333333,NA,44.75,0.16,0.3225,24.7045833333333,19.1025,473,15303.2258064516,6.21,5305.74193548387,"Summer"
